id,char,path
1,天,assets/0.svg
2,地,assets/1.svg
3,玄,assets/2.svg
4,黃,assets/3.svg
5,宇,assets/4.svg
6,宙,assets/5.svg
7,洪,assets/6.svg
8,荒,assets/7.svg
9,日,assets/8.svg
10,月,assets/9.svg
11,盈,assets/10.svg
12,昃,assets/11.svg
13,辰,assets/12.svg
14,宿,assets/13.svg
15,列,assets/14.svg
16,張,assets/15.svg
17,寒,assets/16.svg
18,來,assets/17.svg
19,暑,assets/18.svg
20,往,assets/19.svg
21,秋,assets/20.svg
22,收,assets/21.svg
23,冬,assets/22.svg
24,藏,assets/23.svg
25,閏,assets/24.svg
26,餘,assets/25.svg
27,成,assets/26.svg
28,歲,assets/27.svg
29,律,assets/28.svg
30,呂,assets/29.svg
31,調,assets/30.svg
32,陽,assets/31.svg
33,雲,assets/32.svg
34,騰,assets/33.svg
35,致,assets/34.svg
36,雨,assets/35.svg
37,露,assets/36.svg
38,結,assets/37.svg
39,為,assets/38.svg
40,霜,assets/39.svg
41,金,assets/40.svg
42,生,assets/41.svg
43,麗,assets/42.svg
44,水,assets/43.svg
45,玉,assets/44.svg
46,出,assets/45.svg
47,崑,assets/46.svg
48,崗,assets/47.svg
49,劍,assets/48.svg
50,號,assets/49.svg
51,巨,assets/50.svg
52,闕,assets/51.svg
53,珠,assets/52.svg
54,稱,assets/53.svg
55,夜,assets/54.svg
56,光,assets/55.svg
57,果,assets/56.svg
58,珍,assets/57.svg
59,李,assets/58.svg
60,柰,assets/59.svg
61,菜,assets/60.svg
62,重,assets/61.svg
63,芥,assets/62.svg
64,薑,assets/63.svg
65,海,assets/64.svg
66,鹹,assets/65.svg
67,河,assets/66.svg
68,淡,assets/67.svg
69,鱗,assets/68.svg
70,潛,assets/69.svg
71,羽,assets/70.svg
72,翔,assets/71.svg
73,龍,assets/72.svg
74,師,assets/73.svg
75,火,assets/74.svg
76,帝,assets/75.svg
77,鳥,assets/76.svg
78,官,assets/77.svg
79,人,assets/78.svg
80,皇,assets/79.svg
81,始,assets/80.svg
82,制,assets/81.svg
83,文,assets/82.svg
84,字,assets/83.svg
85,乃,assets/84.svg
86,服,assets/85.svg
87,衣,assets/86.svg
88,裳,assets/87.svg
89,推,assets/88.svg
90,位,assets/89.svg
91,讓,assets/90.svg
92,國,assets/91.svg
93,有,assets/92.svg
94,虞,assets/93.svg
95,陶,assets/94.svg
96,唐,assets/95.svg
97,弔,assets/96.svg
98,民,assets/97.svg
99,伐,assets/98.svg
100,罪,assets/99.svg
101,周,assets/100.svg
102,發,assets/101.svg
103,殷,assets/102.svg
104,湯,assets/103.svg
105,坐,assets/104.svg
106,朝,assets/105.svg
107,問,assets/106.svg
108,道,assets/107.svg
109,垂,assets/108.svg
110,拱,assets/109.svg
111,平,assets/110.svg
112,章,assets/111.svg
113,愛,assets/112.svg
114,育,assets/113.svg
115,黎,assets/114.svg
116,首,assets/115.svg
117,臣,assets/116.svg
118,伏,assets/117.svg
119,戎,assets/118.svg
120,羌,assets/119.svg
121,遐,assets/120.svg
122,邇,assets/121.svg
123,壹,assets/122.svg
124,體,assets/123.svg
125,率,assets/124.svg
126,賓,assets/125.svg
127,歸,assets/126.svg
128,王,assets/127.svg
129,鳴,assets/128.svg
130,鳳,assets/129.svg
131,在,assets/130.svg
132,樹,assets/131.svg
133,白,assets/132.svg
134,駒,assets/133.svg
135,食,assets/134.svg
136,場,assets/135.svg
137,化,assets/136.svg
138,被,assets/137.svg
139,草,assets/138.svg
140,木,assets/139.svg
141,賴,assets/140.svg
142,及,assets/141.svg
143,萬,assets/142.svg
144,方,assets/143.svg
145,蓋,assets/144.svg
146,此,assets/145.svg
147,身,assets/146.svg
148,髮,assets/147.svg
149,四,assets/148.svg
150,大,assets/149.svg
151,五,assets/150.svg
152,常,assets/151.svg
153,恭,assets/152.svg
154,惟,assets/153.svg
155,鞠,assets/154.svg
156,養,assets/155.svg
157,豈,assets/156.svg
158,敢,assets/157.svg
159,毀,assets/158.svg
160,傷,assets/159.svg
161,女,assets/160.svg
162,慕,assets/161.svg
163,貞,assets/162.svg
164,絜,assets/163.svg
165,男,assets/164.svg
166,效,assets/165.svg
